,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
525,James Ward-Prowse,eng ENG,MF,Southampton,28-165,1994,30,30,2700,30.0,7,2,9,6,1,3,5,0,4.8,2.3,5.3,7.5,18,170,45,0.23,0.07,0.30,0.20,0.27,0.16,0.18,0.33,0.08,0.25,Matches,3515d404
526,Ollie Watkins,eng ENG,FW,Aston Villa,27-106,1995,29,28,2413,26.8,12,5,17,11,1,1,2,0,12.2,11.4,2.9,14.3,42,35,151,0.45,0.19,0.63,0.41,0.60,0.45,0.11,0.56,0.43,0.53,Matches,aed3a70f
527,Adam Webster,eng ENG,DF,Brighton,28-101,1995,22,18,1610,17.9,0,0,0,0,0,0,1,0,1.6,1.6,0.1,1.7,16,91,7,0.00,0.00,0.00,0.00,0.00,0.09,0.01,0.09,0.09,0.09,Matches,c40b6180
528,Wout Weghorst,nl NED,FWMF,Manchester Utd,30-251,1992,10,9,625,6.9,0,1,1,0,0,0,0,0,1.3,1.3,0.8,2.2,1,14,33,0.00,0.14,0.14,0.00,0.14,0.19,0.12,0.31,0.19,0.31,Matches,c4e87b8b
529,Danny Welbeck,eng ENG,FW,Brighton,32-140,1990,22,16,1423,15.8,3,2,5,3,0,0,0,0,6.5,6.5,2.6,9.1,21,33,106,0.19,0.13,0.32,0.19,0.32,0.41,0.17,0.57,0.41,0.57,Matches,ce5143da
530,Ben White,eng ENG,DF,Arsenal,25-189,1997,30,28,2335,25.9,2,3,5,2,0,0,5,0,1.3,1.3,2.1,3.4,52,196,99,0.08,0.12,0.19,0.08,0.19,0.05,0.08,0.13,0.05,0.13,Matches,35e413f1
531,Harvey White,eng ENG,MF,Tottenham,21-208,2001,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,4d90ce8c
532,Joseph Whitworth,eng ENG,GK,Crystal Palace,19-045,2004,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3f847d95
533,Neco Williams,wls WAL,DF,Nott'ham Forest,22-002,2001,28,17,1638,18.2,0,0,0,0,0,0,5,0,1.1,1.1,1.3,2.4,42,32,65,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.13,0.06,0.13,Matches,dd323728
534,Willian,br BRA,FW,Fulham,34-249,1988,20,18,1543,17.1,3,2,5,3,0,0,2,0,2.5,2.5,2.7,5.2,67,81,101,0.17,0.12,0.29,0.17,0.29,0.15,0.16,0.30,0.15,0.30,Matches,8b9ebd03
535,Joe Willock,eng ENG,MF,Newcastle Utd,23-238,1999,28,24,2004,22.3,3,4,7,3,0,0,1,0,5.8,5.8,4.1,9.8,74,94,116,0.13,0.18,0.31,0.13,0.31,0.26,0.18,0.44,0.26,0.44,Matches,a3b03921
536,Callum Wilson,eng ENG,FW,Newcastle Utd,31-047,1992,22,16,1358,15.1,10,4,14,9,1,1,3,0,10.4,9.6,2.1,11.7,21,17,90,0.66,0.27,0.93,0.60,0.86,0.69,0.14,0.83,0.63,0.78,Matches,c596fcb0
537,Harry Wilson,wls WAL,FW,Fulham,26-024,1997,20,4,462,5.1,0,0,0,0,0,0,1,0,1.1,1.1,0.2,1.3,8,16,40,0.00,0.00,0.00,0.00,0.00,0.21,0.04,0.25,0.21,0.25,Matches,c6dc9ecd
538,Yoane Wissa,cd COD,FW,Brentford,26-224,1996,30,12,1215,13.5,5,2,7,5,0,0,2,0,3.9,3.9,2.2,6.1,17,24,83,0.37,0.15,0.52,0.37,0.52,0.29,0.16,0.45,0.29,0.45,Matches,2500cef9
539,Maximilian Wöber,at AUT,DF,Leeds United,25-070,1998,10,9,790,8.8,0,0,0,0,0,0,1,0,0.6,0.6,0.5,1.1,7,36,3,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.12,0.06,0.12,Matches,4b803b3c
540,Chris Wood,nz NZL,FW,Newcastle Utd,31-129,1991,18,4,446,5.0,2,0,2,1,1,1,0,0,1.8,1.0,0.3,1.3,1,4,23,0.40,0.00,0.40,0.20,0.20,0.37,0.06,0.43,0.21,0.27,Matches,4e9a0555
541,Chris Wood,nz NZL,FW,Nott'ham Forest,31-129,1991,7,5,372,4.1,1,0,1,1,0,0,0,0,1.0,1.0,0.2,1.2,2,7,12,0.24,0.00,0.24,0.24,0.24,0.23,0.05,0.28,0.23,0.28,Matches,4e9a0555
542,Joe Worrall,eng ENG,DF,Nott'ham Forest,26-095,1997,23,17,1699,18.9,1,0,1,1,0,0,6,0,0.5,0.5,0.6,1.2,5,54,1,0.05,0.00,0.05,0.05,0.05,0.03,0.03,0.06,0.03,0.06,Matches,a5212312
543,Granit Xhaka,ch SUI,MF,Arsenal,30-200,1992,30,29,2469,27.4,5,5,10,5,0,0,4,0,3.0,3.0,4.4,7.4,34,175,154,0.18,0.18,0.36,0.18,0.36,0.11,0.16,0.27,0.11,0.27,Matches,e61b8aee
544,Ryan Yates,eng ENG,MF,Nott'ham Forest,25-145,1997,21,17,1494,16.6,0,2,2,0,0,0,4,0,2.2,2.2,1.2,3.4,10,37,23,0.00,0.12,0.12,0.00,0.12,0.13,0.07,0.20,0.13,0.20,Matches,c1fe2a48
545,Ashley Young,eng ENG,DF,Aston Villa,37-280,1985,22,17,1542,17.1,1,0,1,1,0,0,3,0,0.2,0.2,0.9,1.1,22,89,30,0.06,0.00,0.06,0.06,0.06,0.01,0.05,0.06,0.01,0.06,Matches,be927d03
546,Illia Zabarnyi,ua UKR,DF,Bournemouth,20-226,2002,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,88968486
547,Wilfried Zaha,ci CIV,FWMF,Crystal Palace,30-156,1992,24,24,2065,22.9,6,2,8,6,0,2,4,0,5.9,4.2,2.5,6.7,70,60,212,0.26,0.09,0.35,0.26,0.35,0.26,0.11,0.37,0.18,0.29,Matches,b2bc3b1f
548,Denis Zakaria,ch SUI,MF,Chelsea,26-146,1996,6,4,338,3.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,9,6,3,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches,384d58d9
549,Jordan Zemura,zw ZIM,DF,Bournemouth,23-152,1999,19,17,1454,16.2,0,1,1,0,0,0,1,0,0.4,0.4,1.9,2.2,39,45,48,0.00,0.06,0.06,0.00,0.06,0.02,0.11,0.14,0.02,0.14,Matches,e8271ad9
550,Oleksandr Zinchenko,ua UKR,DF,Arsenal,26-121,1996,23,22,1825,20.3,1,2,3,1,0,0,2,0,1.3,1.3,1.4,2.7,63,200,60,0.05,0.10,0.15,0.05,0.15,0.07,0.07,0.13,0.07,0.13,Matches,51cf8561
551,Hakim Ziyech,ma MAR,FWMF,Chelsea,30-027,1993,13,6,572,6.4,0,1,1,0,0,0,1,0,0.6,0.6,1.4,2.0,13,35,56,0.00,0.16,0.16,0.00,0.16,0.09,0.22,0.31,0.09,0.31,Matches,6622454d
552,Kurt Zouma,fr FRA,DF,West Ham,28-170,1994,20,19,1656,18.4,2,0,2,2,0,0,0,0,2.1,2.1,0.1,2.2,1,24,1,0.11,0.00,0.11,0.11,0.11,0.11,0.00,0.12,0.11,0.12,Matches,ce4246f5
553,Martin Ødegaard,no NOR,MF,Arsenal,24-119,1998,29,29,2469,27.4,10,7,17,10,0,0,4,0,8.2,8.2,6.9,15.1,68,212,155,0.36,0.26,0.62,0.36,0.62,0.30,0.25,0.55,0.30,0.55,Matches,79300479
